date,90th to 99th ,Top 1%,Bottom 50%,50th to 90th,balance_sheet
1/1/00,12031728,14031569,1407666,14665306,7004568.467
4/1/00,11784388,14138844,1396243,14587794,7163614.418
7/1/00,11828045,14376902,1442703,14930623,7269388.01
10/1/00,11447687,14470962,1380207,14785761,7462898.054
1/1/01,11167020,14772343,1349555,14728513,7572689.271
4/1/01,11480953,15120841,1346694,15271011,7635923.679
7/1/01,10938453,15061121,1318987,14889308,7844175.799
10/1/01,11390292,15618781,1284027,15469122,7867077.283
1/1/02,11562877,15859219,1268717,15683120,7822741.802
4/1/02,11400751,15618164,1206917,15542023,8039006.629
7/1/02,10839648,15490259,1213855,15135753,8272829.759
10/1/02,10911611,15934324,1251046,15476838,8435858.213
1/1/03,10917264,16000658,1184457,15634344,8605714.87
4/1/03,11756445,16421886,1115813,16256184,8923262.177
7/1/03,12118859,16650117,1137966,16511870,8943134.245
10/1/03,12802192,17086283,1241003,17176075,9075653.324
1/1/04,13807294,17653096,1208134,18036725,9377238.799
4/1/04,13935886,17843341,1262172,18342672,9648544.817
7/1/04,14381182,18042515,1289716,18864836,9877215.472
10/1/04,15147939,18777539,1304792,19562334,10107378.71
1/1/05,15411296,18946396,1288616,19932464,10286409.86
4/1/05,15950851,19329918,1289729,20461057,10474368.26
7/1/05,16464255,19755123,1341739,21014722,10700704.37
10/1/05,16890061,20249583,1390953,21524275,10879266.65
1/1/06,17755880,20189955,1397772,22349036,11209759.51
4/1/06,17711206,20141868,1367626,22523391,11526114.01
7/1/06,18065734,20437381,1357758,22936227,11754158.25
10/1/06,18583640,20756192,1389171,23428665,11861854.57
1/1/07,19114823,20529080,1403256,24108306,11982319.6
4/1/07,19282532,20451489,1349535,24534771,12261392.26
7/1/07,19559510,20584923,1238980,24994394,12706149.71
10/1/07,19213340,20526046,1113448,24907040,13033934.37
1/1/08,18620174,19814674,1026563,24519082,13369322.1
4/1/08,18139593,19442931,964872,24144332,13300429.89
7/1/08,17297417,18914330,666501,23626286,13545965.48
10/1/08,15623734,18664844,639798,22629594,13817670.94
1/1/09,15026544,17747815,650215,22470743,13526158.17
4/1/09,15375246,18114249,572525,22490544,13279679.33
7/1/09,16329646,18249235,432046,23112766,13226016.91
10/1/09,16093648,19014344,399315,22915502,13086777.69
1/1/10,16759673,18862659,335867,23566323,13336004.27
4/1/10,16550362,18657838,238109,23486372,13199507.43
7/1/10,17288373,19021205,312480,24232478,13372707.51
10/1/10,17740640,19737052,312464,24536070,13318922.96
1/1/11,18463640,19606367,258715,25030886,13414246.87
4/1/11,18684887,19818218,182621,25066258,13601986.53
7/1/11,18006949,19376241,276842,24399967,13811890.22
10/1/11,18210334,19982105,371055,24656476,13891344.76
1/1/12,19123923,20074866,391884,25506046,13925410.73
4/1/12,19192230,20041964,379392,25471231,14030842.98
7/1/12,19821021,20636339,457950,25949571,14222854.71
10/1/12,20146130,20952811,547060,26157289,14450403.76
1/1/13,21136491,21643376,505228,27208220,14423791.85
4/1/13,21447731,21788515,549789,27771269,14409751.24
7/1/13,22069674,22654686,632764,28497150,14603604.37
10/1/13,22674102,23354756,626114,29128353,14730790.52
1/1/14,23561223,23516975,642462,29819903,14909898.82
4/1/14,24259357,23876709,735991,30479155,15171911.35
7/1/14,24474132,23823337,763778,30821497,15348740.22
10/1/14,25044195,24370388,771721,31272010,15553728.4
1/1/15,25752166,24553653,822028,32054930,15777971.71
4/1/15,26064040,24562864,818141,32344492,15753630.87
7/1/15,25586110,24387826,844768,32040924,15800092.05
10/1/15,25988752,25124768,955464,32285631,15967662.11
1/1/16,26508341,25248484,987436,32757788,16293275.9
4/1/16,27069459,25394709,973520,33338888,16533969.43
7/1/16,27528200,25837406,1095099,34001007,16766622.24
10/1/16,27424377,26438930,1129873,34077192,16779681.32
1/1/17,28314351,26950761,1162912,34989503,16965580.74
4/1/17,28786093,27255766,1273634,35670297,17069493.58
7/1/17,29268667,27732968,1340735,36397311,17242501.09
10/1/17,30120855,28440487,1381629,37283847,17415409.64
1/1/18,30463984,28724830,1425432,37742910,17530252.17
4/1/18,30771072,28963791,1554724,38401586,17532878.34
7/1/18,31413030,29417853,1607404,39105229,17672831.76
10/1/18,29613834,28968056,1545667,37773908,17942991.78
1/1/19,31800106,30219395,1625048,39909774,18089968.03
4/1/19,32424946,30640838,1706715,40888105,18265869.31
7/1/19,32356370,30798206,1836496,41270977,18481913.86
10/1/19,33829436,31610167,1959008,42577642,18645727.27
1/1/20,30734169,31036248,1855209,40087179,20255185.95
4/1/20,33893498,32804571,1965750,42836942,21139327.36
7/1/20,35654206,33826771,2062338,44209749,21209353.15
10/1/20,39169913,35412827,2273030,47185939,21868854.02
1/1/21,41338744,36663520,2472299,48769673,22546809.21
4/1/21,43445082,37650310,2960302,50640954,22774241.05
7/1/21,44147898,38137802,3421100,51444339,23251582.78
10/1/21,45862338,39254556,3731118,53337532,23719316.22